function	header	classification	citation
kl_http_client_free	http_client.h	unreviewed	-
kl_http_client_last_error	http_client.h	unreviewed	-
kl_http_client_pool_acquire	http_client_pool.h	unreviewed	-
kl_http_client_pool_discard	http_client_pool.h	unreviewed	-
kl_http_client_pool_evict_expired	http_client_pool.h	unreviewed	-
kl_http_client_pool_free	http_client_pool.h	unreviewed	-
kl_http_client_pool_host_count	http_client_pool.h	unreviewed	-
kl_http_client_pool_idle_count	http_client_pool.h	unreviewed	-
kl_http_client_pool_init	http_client_pool.h	unreviewed	-
kl_http_client_pool_release	http_client_pool.h	unreviewed	-
kl_http_client_request	http_client.h	unreviewed	-
kl_http_client_request_pooled	http_client_pool.h	unreviewed	-
kl_http_client_request_s	http_client.h	unreviewed	-
kl_http_client_response	http_client.h	unreviewed	-
kl_http_client_response_free	http_client.h	unreviewed	-
kl_http_client_start	http_client.h	unreviewed	-
kl_http_client_start_pooled	http_client_pool.h	unreviewed	-
kl_http_client_start_s	http_client.h	unreviewed	-
kl_http_compress_stream_begin	http_compress.h	unreviewed	-
kl_http_compress_stream_end	http_compress.h	unreviewed	-
kl_http_compress_stream_write	http_compress.h	unreviewed	-
kl_http_conn_peer_addr	http_connection.h	unreviewed	-
kl_http_cors_add_origin	http_cors.h	unreviewed	-
kl_http_cors_init	http_cors.h	unreviewed	-
kl_http_cors_is_allowed	http_cors.h	unreviewed	-
kl_http_cors_middleware	http_cors.h	unreviewed	-
kl_http_cors_parse_origins	http_cors.h	unreviewed	-
kl_http_multipart_last_error	http_body_reader_multipart.h	unreviewed	-
kl_http_multipart_next	http_body_reader_multipart.h	unreviewed	-
kl_http_redirect_cancel	http_redirect.h	unreviewed	-
kl_http_redirect_error	http_redirect.h	unreviewed	-
kl_http_redirect_free	http_redirect.h	unreviewed	-
kl_http_redirect_last_error	http_redirect.h	unreviewed	-
kl_http_redirect_request	http_redirect.h	unreviewed	-
kl_http_redirect_request_pooled	http_redirect.h	unreviewed	-
kl_http_redirect_response	http_redirect.h	unreviewed	-
kl_http_redirect_start	http_redirect.h	unreviewed	-
kl_http_redirect_start_pooled	http_redirect.h	unreviewed	-
kl_http_request_conn	http_request.h	unreviewed	-
kl_http_request_header	http_request.h	unreviewed	-
kl_http_request_header_len	http_request.h	unreviewed	-
kl_http_request_param	http_request.h	unreviewed	-
kl_http_request_pause_body	http_request.h	unreviewed	-
kl_http_request_peer_addr	http_server.h	unreviewed	-
kl_http_request_peer_cert	http_server.h	unreviewed	-
kl_http_request_peer_cred	http_server.h	unreviewed	-
kl_http_request_peer_label	http_server.h	unreviewed	-
kl_http_request_peer_sockaddr	http_server.h	unreviewed	-
kl_http_request_resume_body	http_request.h	unreviewed	-
kl_http_response_begin_stream	http_response.h	unreviewed	-
kl_http_response_body_borrow	http_response.h	unreviewed	-
kl_http_response_body_compress	http_compress.h	unreviewed	-
kl_http_response_body_copy	http_response.h	unreviewed	-
kl_http_response_enable_drain	http_response.h	unreviewed	-
kl_http_response_end_stream	http_response.h	unreviewed	-
kl_http_response_error	http_response.h	unreviewed	-
kl_http_response_file	http_response.h	unreviewed	-
kl_http_response_free	http_response.h	unreviewed	-
kl_http_response_header	http_response.h	unreviewed	-
